Column1,Column2,Column3,Sentimento
Mon Sep 27 16:49:55 +0000 2021,[1442531963152179202],"Mas você não pode criticar a direita, tá? A dita ""direita"" pode falar o que quiser do Bolsonaro, mas você não pode dar um pio sobre essa ""direita"". Até quando será assim? Bolsonaro disse que o Brasil será amanhã o que fizermos hoje! Pois é... https://t.co/KGM7WX8a0A",Positivo
Mon Sep 27 16:49:57 +0000 2021,[1442531969183535117],"@delucca Uma coisa boa: dentro do meu círculo social, hoje consigo identificar os simpáticos ao autoritarismo, os negacionistas e os racistas e homofóbicos. Obrigado Bolsonaro por expor os escrotos!",Positivo
Mon Sep 27 16:50:02 +0000 2021,[1442531993380659201],"@HackbartMarcelo @CentroLiberalBR Nem a tv lula o Bolsonaro privatizou e eh pq nem precisa de congresso. Bora ser sincero, vcs são os burros que se acham inteligentes... Só gostam de ser enganados kkkk",Positivo
Mon Sep 27 16:50:06 +0000 2021,[1442532010296291328],"@Metropoles @jairbolsonaro O governo Bolsonaro vai passar e o governo Lula já passou. Uma nova história pode ser escrita com uma nova política, com pessoas muito melhores na presidência. É o que queremos. #Eleicoes2022",Positivo
Mon Sep 27 16:50:24 +0000 2021,[1442532084833157122],"@CentralEleicoes @Euclides_crf Porra então faça um acordo com o outro lado e nenhum dos dois concorram, seria o melhor para o país. Sonho seria uma eleição sem Lula e Bolsonaro.",Positivo
Mon Sep 27 16:51:14 +0000 2021,[1442532292052803586],"@Karol49588720 @o_antagonista .. que já tinha e trocou de nome, lembra que antigamente davam cestas básicas? Ele aperfeiçoou, melhor que entregar cesta foi entregar o dinheiro para as pessoas comprarem, eliminando assim perdas de alimentos e logística, ho",Positivo
Mon Sep 27 16:52:30 +0000 2021,[1442532611377692678],@Rconstantino Eu acho que  todos os governantes direta ou indiretamente tem culpa SIM  ! Agora colocar  toda a culpa dessa crise só na conta do Bolsonaro e livrando a cara de governadores e prefeitos que tracaram cidades e municípios dizendo economia vê d,Positivo
Mon Sep 27 16:52:38 +0000 2021,[1442532646421032961],"Hoje é sim um dia para comemorar 1000 dias de governo Bolsonaro, são mil dias sem projetos criminosos de poder, sem roubalheira sistêmica, sem ideologia de gênero, sem apologia ao crime,sem mentiras.",Positivo
Mon Sep 27 16:54:12 +0000 2021,[1442533042082353156],@FabioClickTime Essas pessoas querem ver o país pegando fogo enquanto estão em seu conforto vendendo cursos e mais curso usando da bandeira conservadora. Eles não tem nem 1% da coragem fora da internet e experiência política que o Bolsonaro tem.,Positivo
Mon Sep 27 16:54:33 +0000 2021,[1442533129118310400],Ainda bem que falta leitura de Laclau e Mouffe sobre a ascenção do populismo. Estão seguindo direitinho a cartilha para solidificar Lula e Bolsonaro como candidaturas populares.,Positivo
Mon Sep 27 16:54:40 +0000 2021,[1442533158663172096],"@peganomeutheiss Eu torço muito pra q alguém da comunidade faça sucesso.   Eu posso te lembrar o exemplo da ""Ivete Sangalo"" simpatizante e q nunca se opôs ao governo Bolsonaro.",Positivo
Mon Sep 27 16:55:53 +0000 2021,[1442533466256592905],@jandira_feghali Muito pelo contrário.. Bolsonaro conseguiu segurar um pouco o Brasil depois de todos os governadores trancarem os brasileiros em casa e dizerem que a economia a gente via depois..,Positivo
Mon Sep 27 16:56:16 +0000 2021,[1442533562096361474],"@PeriniBruno Bruno, cite coisas boas que o governo Bolsonaro fez para o Brasil. Mas o desafio é: NÃO pode citar Lula, PT nem Dilma. Valendoooo!",Positivo
Mon Sep 27 16:56:34 +0000 2021,[1442533636373241866],"@br_distrito @DaianeAstolphi @MarcosL23499589 @taoquei1 No final todos verão que Bolsonaro tem razão.... Os vacinados estão assintomático, e com passaporte sanitário para passar para todos, vacinados e não, inegável que as complicação com vírus diminuíram",Positivo
Mon Sep 27 16:56:36 +0000 2021,[1442533643897954314],"@leia_livros_ @Dhiegomovic3 @RED4NYTHING @martha_cbjr10 Eu estou foda-se para o vídeo, não para o que o governo impõe, eu não vou me preocupar com algo tão insignificante quando existe problemas maiores. Ah, já viu livros didáticos nas escolas? São ideoló",Positivo
Mon Sep 27 16:58:26 +0000 2021,[1442534106433081345],"O que não mata faz ficar mais forte.  Mil dias de governo, só Deus sabe o que esse homem passou e vem passando com essa mídia podre e esses partidos politicos ( organizações criminosas ), STF, congresso.  Deus é mais.  Parabéns presidente Bolsonaro.  #Bolsonaro2022",Positivo
Mon Sep 27 16:58:33 +0000 2021,[1442534137097854982],@paulomathias O que está acontecendo com vc ? Suas opiniões e visões estão ficando completamente diferentes ? Pq ? Críticas da esquerda ok e de nós vc não aceita ? O Bolsonaro não é perfeito mas não venha dizer que ele não fez nada ? Ele tenta e vc sabe m,Positivo
Mon Sep 27 16:59:01 +0000 2021,[1442534252537655304],"Parabéns ao povo brasileiro, parabéns a nação brasileira, parabéns presidente Bolsonaro,o FMI da OCDE avaliaram o desempenho do PIB brasileiro como positivo.",Positivo
Mon Sep 27 16:59:07 +0000 2021,[1442534276000534529],"Temos que continuar apoiando o Bolsonaro, não podemos abandonar as ruas, vamos mostrar que continuamos com o presidente https://t.co/ldwUOxLrs3",Positivo
Mon Sep 27 16:59:38 +0000 2021,[1442534409630994435],"É do jogo democrático querer uma alternativa ao @lula e ao presidente. Tudo bem querer @cirogomes, @mandetta, @EduardoLeite_ ou @Sen_Alessandro em vez do @ptbrasil. Mas é um equívoco retirar do debate o petista e Bolsonaro como se fossem opostos num mesmo campo. Não são.",Positivo
Mon Sep 27 16:59:43 +0000 2021,[1442534429109280769],@jornalhoje Que vergonha a forma como foi abordada a questão da dificuldade de energia em Roraima. Isso sim é #fakenews. As reservas indígenas comandadas pela ESQUERDA nunca permitiram que o governo terminasse a ligação Manaus/Boa Vista. A culpa NÃO é do ,Positivo
Mon Sep 27 16:59:53 +0000 2021,[1442534469756465159],Daqui a uns dias muitos países da Europa vão pedir desculpas a Bolsonaro e ao Brasil sobre as Fake News que inventaram sobre o Agro Brasileiro para verem se conseguem alimentos para a sua população.,Positivo
Mon Sep 27 17:01:07 +0000 2021,[1442534779342049290],@profcabarros Minha nossa o Bolsonaro teve ter derrubando uma para do Planalto com soco Deus salve o bolsona e família pq o Brasil depois dessa leve não reagi já é era,Positivo
Mon Sep 27 17:01:12 +0000 2021,[1442534803920855042],"@JovemPanNews @viniciusmourajp Não é apenas isso, mas vá lá que seja: portanto o PR Bolsonaro e seus correliginarios não são os maiores causadores de problema. A corrupção por exemplo,  marca registrada da Esquerda, dá um trabalho danado ao Judiciário jus",Positivo
Mon Sep 27 17:01:44 +0000 2021,[1442534936506945538],"La nos EUA tambem... Graças a Bolsonaro ou o correto seria Graças a Deus.  Caraca, o mito virou Deus...Isso é que é ser foda. https://t.co/FbtWIVUPdX",Positivo
Mon Sep 27 17:02:13 +0000 2021,[1442535057244127232],Rachadinha Covaxin Tratoraço  Ricardo Salles demitido   Mas o gado insiste que não existe corrupção no governo Bolsonaro  #1000diassemcorrupcao,Positivo
Mon Sep 27 17:02:23 +0000 2021,[1442535098000105481],"Ñ posso reclamar dos Governos Temer e Bolsonaro, fui até promovido d classe nesse período...eu era da baixa e agora sou da alta ! Explico: Eu era classe média baixa e agora sou classe pobre alta ! Alta é melhor q baixa, né ! É 1 promoção, né ñ ???",Positivo
Mon Sep 27 17:02:53 +0000 2021,[1442535227470094340],"Podemos falar com orgulho do presidente Bolsonaro, esta marca é praticamente inédita para um Presidente na história do nosso país!  MEU PRESIDENTE NÃO É CORRUPTO! #1000DiasSemCorrupcao",Positivo
Mon Sep 27 17:02:56 +0000 2021,[1442535239696277505],"@SrgioRamosCruz1 @josilvasousa @oedgama Ex: Tenho um tio (idoso, para variar) que defende o Bolsonaro simplesmente pq ele recebe ""tudo de bom do Bolsonaro"" nos grupos do whatsapp. Porém eu tbm sei que ele não é uma má pessoa. Não posso sair xingando ele s",Positivo
Mon Sep 27 17:03:03 +0000 2021,[1442535265772478464],"‘Estão dobrando a aposta’, diz Eduardo sobre críticas da imprensa a Bolsonaro 'Está cada vez mais claro que o problema não é o presidente. E ele se torna o representante dessa população', diz o deputado https://t.co/WXW5vQ2PbV https://t.co/2MBtBJT00x",Positivo
Mon Sep 27 17:03:28 +0000 2021,[1442535373381505025],@AdrianaPegini @AndersonBoulder É surreal tô começando acreditar que foi realmente Deu que colocou o Bolsonaro na presidência pq se ele não tivesse lá agente ia vê isso com normalidade Deu nós sava vou começar reza muito.,Positivo
Mon Sep 27 17:04:21 +0000 2021,[1442535594446376964],"@UOLNoticias A mídia tradicional está agonizando. Garcia tem 3 mi no Twitter e 2 mi no YT,muito mais que o UOL. Esse vídeo CHEIO DE VERDADES INCONTESTÁVEIS mostra porque o UOL quer derrubar Bolsonaro. Ganhava mais de 1 mi por mês nos governos petistas (o ",Positivo
Mon Sep 27 17:04:33 +0000 2021,[1442535645210189832],@HelayneQueiroz @OInconformado3 @VikingsBrasilbr @SimoneCR3 @arivsilva1 @PorcheddCris @ehasibr @jurandirsotero @Delinho17333581 @ArendSchn @CrisCorinto8891 @GuedeCFigueredo me sigam que tbm sigo obrigado somos fortes Bolsonaro reeleito em primeiro turno @,Positivo
Mon Sep 27 17:04:49 +0000 2021,[1442535711559749636],#BolsonaroHeroiNacional  #BolsonaroOrgulhoDoBrasil  #FechadoComBolsonaro  PÁTRIA AMADA BRASIL BRASIL AME-O OU DEIXE-O MAS PETRALHAS COMUNISTAS BOLIVARIANOS NUNCA MAIS,Positivo
Mon Sep 27 17:04:50 +0000 2021,[1442535715989069824],@GuedeCFigueredo @Nuu18812333 @gubolin_rogerio @MaraMai54259274 @FredericoMarc14 @marciapepe @danieljsjr970 @FATIMAC75843178 @BerwigValmir @Valdirene4971 @wdiascruz @MAnja2022 me sigam que tbm sigo obrigado somos fortes Bolsonaro reeleito em primeiro turn,Positivo
Mon Sep 27 17:04:52 +0000 2021,[1442535727024181248],"@Ricamconsult Pois é? Governo Bolsonaro, 1000 dias sem um único escândalo de corrupção. Que tal divulgar e comentar esse fato? Que tal reconhecer esse mérito no atual governo? Não seria ato   de apoio ao governo, mas relato de  um fato relevante. Analista",Positivo
Mon Sep 27 17:05:06 +0000 2021,[1442535783508758530],@HelayneQueiroz @Nuu18812333 @gubolin_rogerio @MaraMai54259274 @FredericoMarc14 @marciapepe @danieljsjr970 @FATIMAC75843178 @BerwigValmir @Valdirene4971 @wdiascruz @MAnja2022 me sigam que tbm sigo obrigado somos fortes Bolsonaro reeleito em primeiro turno,Positivo
Mon Sep 27 17:05:16 +0000 2021,[1442535825820897282],"@gabrielsodiasbr @P_molarinho @Lucianospires @LulaOficial Não acho q seja momento de pautar essa medida, é preciso acabar com essa polarização absurda. Governo Lula vai ser tão polarizado quanto o governo Bolsonaro, independente da postura do Lula, o anti",Positivo
Mon Sep 27 17:05:22 +0000 2021,[1442535849724309504],@GuedeCFigueredo @Luizoli1965 @figueredo_guede @pe_mendes @Rbbbarbosa @ricardo45866060 @HelayneQueiroz @blindada1954 @MarcuseJe @Viviane09892890 @APM_LMinions @adinaelsilva @BhGigio me sigam que tbm sigo obrigado somos fortes Bolsonaro reeleito em primeir,Positivo
Mon Sep 27 17:05:43 +0000 2021,[1442535938324942853],@HelayneQueiroz @Luizoli1965 @figueredo_guede @pe_mendes @Rbbbarbosa @ricardo45866060 @blindada1954 @MarcuseJe @Viviane09892890 @APM_LMinions @adinaelsilva @BhGigio me sigam que tbm sigo obrigado somos fortes Bolsonaro reeleito em primeiro turno @geraldof,Positivo
Mon Sep 27 17:05:50 +0000 2021,[1442535968444084228],"O TSE pode julgar a chapa Bolsonaro/Mourão na data que quiser. O que eu quero ver é se aquele monte de ""ministro macho"" vai ter coragem de cassar. Vai precisar de muita coragem. Mas muita.",Positivo
Mon Sep 27 17:05:56 +0000 2021,[1442535994704551945],"@RALACERDA @heldermaldonado @folha Exato, quem quiser vota no Ciro, quem quiser vota no Lula. O que passar pro segundo turno a gente concentra os votos contra o Bolsonaro. Simples",Positivo
Mon Sep 27 17:06:02 +0000 2021,[1442536017383337985],Opa!!! então o Bolsonaro criou a o COVID!?? Pare com isso senador! volte a realidade Sr deu tiro pé nesta CPI do circo com narrativas!! Agora eu ficava preocupado pois povo de Sergipe Não cairá mas onda do PT ou seja não se elegera 2022 abra os olhos!!kkkkkkkkkkkkkkkkkkk,Positivo
Mon Sep 27 17:06:12 +0000 2021,[1442536061477982215],@SimoneCR3 @OInconformado3 @VikingsBrasilbr @arivsilva1 @PorcheddCris @ehasibr @jurandirsotero @Delinho17333581 @ArendSchn @CrisCorinto8891 @GuedeCFigueredo me sigam que tbm sigo obrigado somos fortes Bolsonaro reeleito em primeiro turno @geraldofava,Positivo
Mon Sep 27 17:06:13 +0000 2021,[1442536065089277960],"Bolsonaro escancarou o poder das ""forças ocultas"" que derrubaram Jânio e vivem da corrupção #1000DiasSemCorrupcao #Patriotas #15N https://t.co/Qmb1NMJX6p https://t.co/Hog2JCKpGs",Positivo
Mon Sep 27 17:06:22 +0000 2021,[1442536101579739140],"@Ricamconsult Pois é! Governo Bolsonaro, 1000 dias sem um único escândalo de corrupção. Que tal divulgar e comentar esse fato? Que tal reconhecer esse mérito no atual governo? Não seria ato   de apoio ao governo, mas relato de  um fato relevante. Analista",Positivo
Mon Sep 27 17:06:59 +0000 2021,[1442536256500482056],"@folha Terceira , é uma esquerda do mesmo saco, com o Lula junto, Nós temos que continuar com esse presidente, pelo família, filhos, netos e bisneto, pelo menos não rouba e não deixa rouba, Bolsonaro 2022",Positivo
Mon Sep 27 17:06:59 +0000 2021,[1442536257389662208],"@wanmarcal É uma teoria econômica q deve funcionar sob certos aspectos. Não teve nada disso na gestão do Bolsonaro, inclusive os juros baixaram por termos uma economia deprimida, simplesmente pra cumprir o tripe. Propor soluções pra isso não é nenhum demé",Positivo
Mon Sep 27 17:07:21 +0000 2021,[1442536351249821696],@SimoneCR3 @Nuu18812333 @gubolin_rogerio @MaraMai54259274 @FredericoMarc14 @marciapepe @danieljsjr970 @FATIMAC75843178 @BerwigValmir @Valdirene4971 @wdiascruz @MAnja2022 me sigam que tbm sigo obrigado somos fortes Bolsonaro reeleito em primeiro turno @ger,Positivo
Mon Sep 27 17:08:18 +0000 2021,[1442536588068614146],"@xande_ferraz @_Lucy_ano_ @felipehorlle @RenanSantosMBL @Ideias_Radicais Cara, toda generalização é burra  Acho um tremendo erro essas confrontações. Liberais e libertários até certo ponto lutam pelas mesmas coisas.  C/ seria bom se os nossos problemas se",Positivo
Mon Sep 27 17:08:30 +0000 2021,[1442536637846757378],@SimoneCR3 @Luizoli1965 @figueredo_guede @pe_mendes @Rbbbarbosa @ricardo45866060 @HelayneQueiroz @blindada1954 @MarcuseJe @Viviane09892890 @APM_LMinions @adinaelsilva @BhGigio me sigam que tbm sigo obrigado somos fortes Bolsonaro reeleito em primeiro turn,Positivo
Mon Sep 27 17:08:36 +0000 2021,[1442536664744747008],"“Bolsonaro sempre joga dentro das quatro linhas. Há um script escrito para colocá-lo no papel de golpista”, diz Bolsonaro https://t.co/KH59PDIcZz",Positivo
Mon Sep 27 17:08:57 +0000 2021,[1442536752841887749],"O presidente sozinho vai finalizando esse “Mortal Kombat”, Avante Bolsonaro! Aguardamos ansiosos o esperado “Fatality”. https://t.co/ruWnkffAO7",Positivo
Mon Sep 27 17:09:00 +0000 2021,[1442536763491332099],@tuca_nos @janainalimasp Um dia votei no Maluf. Assim como um dia votei no Lula e depois no Bolsonaro. Cagadas todos fazem e falam. Importante é se arrepender e não insistir na cagada.  https://t.co/0nFRKH5TGQ,Positivo
Mon Sep 27 17:09:23 +0000 2021,[1442536860715257856],"@Gabriel46682221 @ananias_santos1 @TercioTomaz Se Bolsonaro, não tivesse praticamente tornado a Bandeira e as cores do Brasil em seu cabo eleitoral mais forte, também seria contra, praticamente vc usuparam de uma coisa é de todo Brasileiro, se vc veste a ",Positivo
Mon Sep 27 17:09:37 +0000 2021,[1442536920333103109],"@MBLivre Se Bolsonaro está inaugurando uma nova fase de Bolsonaro Sincerão eu tenho alguma frases de sugestão: ""Já me vacinei. Vocês que são frouxas."" ""Eu e meus filhos somos corruptos mesmo.  E daí?"" ""Não sei o que faço aqui. Melhor seria renunciar.""",Positivo
Mon Sep 27 17:09:55 +0000 2021,[1442536994656198663],"@Boscardin A vacinação de Michelle Bolsonaro em Nova York é uma vergonha, sob qualquer ponto de vista. O sistema de imunização do Brasil é um dos mais robustos do mundo. Além disso,perdeu a oportunidade de usar sua imagem para incentivar seguidores a ader",Positivo
Mon Sep 27 17:10:05 +0000 2021,[1442537039606415360],"@LeilaneNeubarth @OmarAzizSenador Caramba, a que ponto a Globo chegou na briga contra o Bolsonaro. Kkkkk Ainda bem que a credibilidade dela tá igual sua senador.",Positivo
Mon Sep 27 17:10:39 +0000 2021,[1442537181399166978],"@MarceloBelinati Diz isso pra turma do STF , que deu todo poder de decisão na pandemia para Governadores e Prefeitos.. Dá graças a Deus por termos Bolsonaro Presidente, se não estaríamos piores q Venezuela e Argentina juntos",Positivo
Mon Sep 27 17:10:46 +0000 2021,[1442537209668722694],"@faerisvi @pauloeneas Criticar é normal, claro. Adquirir uma postura igual a dele não é crítica. Tudo agora ele manda indireta, mesmo em casos q n tem nada a ver. Como eu disse: ele já sabe q n será Weintraub o candidato de Bolsonaro. Por isso ele tá puti",Positivo
Mon Sep 27 17:11:02 +0000 2021,[1442537275884126213],"@BrazilFight Meus pais dizia, vocês vão ver de tudo, Essa  ministra recebendo salário do nossos impostos, para discutido uma coisa que a maioria da sociedade brasileira,não aceita, Bolsonaro 2022",Positivo
Mon Sep 27 17:11:05 +0000 2021,[1442537290723700739],"@Rconstantino Mas foi por Isso que votamos no PR Bolsonaro, para ser diferente dos outros. Então não podemos dizer que são 1.000 dias sem escandalo de corrupção. Prefiro dizer, que são 1.000 dias cumprindo com a palavra e sendo homem o suficiente pra não ",Positivo
Mon Sep 27 16:46:34 +0000 2021,[1442531121531654146],@senadorhumberto *Bolsonaro completa Mil Dias no poder. Veja as principais realizações* #Bolsonaro2022 *Compartilhe!!!*  https://t.co/mA42hEsJHV,Neutro
Mon Sep 27 16:46:50 +0000 2021,[1442531185826041863],"@viniciussexto @leandroruschel Falou pouco e falou merda. Bolsonaro o de direita que eh eh mais de centro, quase que vai pra esquerda kkkk cuidado, vai votar naquilo que tu quer combater",Neutro
Mon Sep 27 16:46:53 +0000 2021,[1442531199226949633],"Mulher e filha de Eduardo Bolsonaro estão com Covid-19. Em post nas redes sociais, Heloísa Bolsonaro escreveu que ela e a filha de 11 meses estão bem. É a 2ª vez que Heloísa se infecta com a Covid.  Saiba mais em: https://t.co/mZ54bWF2r8  #BandNews20Anos #EduardoBoldonaro https://t.co/fg7wf9Xnhk",Neutro
Mon Sep 27 16:47:29 +0000 2021,[1442531351467601925],"Enquanto o TSE deve julgar em outubro a ação que pode cassar a chapa Bolsonaro-Mourão. Os dois são acusados do disparo de fake news nas eleições de 2018, Mourão, em viagem que durará 12 dias,  levará 32 funcionários do seu gabinete, que ficarão distribuídos entre os três países. https://t.co/R2NMLnhjjj",Neutro
Mon Sep 27 16:47:30 +0000 2021,[1442531356521553923],"@andersongtorres @CarlaZambelli38 @JusticaGovBR Belo trabalho, Anderson, mas quem mandou matar Bolsonaro? Não é possível que para saber seja necessário o desbloqueio dos tais celulares. O tempo passa, passa e ninguém da PF faz algo substancial nas investi",Neutro
Mon Sep 27 16:47:58 +0000 2021,[1442531472578158599],"@1022_uelton @geraldo1963 Mil dias de governo Bolsonaro marca a explosão da miséria, da fome, além das quase 600 mil mortes pela Covid-19 https://t.co/ICDQ3P7lUZ",Neutro
Mon Sep 27 16:48:06 +0000 2021,[1442531505021063177],@PauloEduardoMED @BetoSilvaBR2021 @nabilsleiman @JanainaDoBrasil Sabe qual a minha maior agonia de quando eu era a favor do Bolsonaro?Se parecida com gente como você.,Neutro
Mon Sep 27 16:48:16 +0000 2021,[1442531549237366784],"Nossa que ranço que tá dando das gringas, já deu! Os trâmites legais já estão em andamento, até parece q isso vai ser resolvido em minutos por causa de TAG. O cara ainda não foi preso c/ 3 processos. Se fosse por # a gente já tinha derrubado até o Bolsonaro. #DayaneMello",Neutro
Mon Sep 27 16:48:20 +0000 2021,[1442531564362076162],"@albertocalmeida @fps3000 @JEFFERS25447195 No Brasil durante 20 anos esse eleitorado de direita foi do PSDB,só que depois da crise de 15-16,lava-jato, impeachment da Dilma,governo impopular do Temer,Bolsonaro tomou conta desses votos,talvez volte para o P",Neutro
Mon Sep 27 16:48:27 +0000 2021,[1442531592598134785],"Vc sabia? Bolsonaro aconselha o gado não tomar vacina, mas coloca sigilo de 100 anos na própria carteira de vacinação   https://t.co/3Ep9u6apfY",Neutro
Mon Sep 27 16:48:27 +0000 2021,[1442531594267512837],Vc sabia? Bolsonaro gastou R$ 15 milhões em leite condensado após fim de relacionamento com Trump (@sensacionalista)   https://t.co/pnQ2dXtJ7X,Neutro
Mon Sep 27 16:48:30 +0000 2021,[1442531607408099334],"@ProfessorAntifa @r_fernandon @CarlosBolsonaro Vou explicar para o pseudo professor de filosofia. Se eu te pedir opinião sobre ""Qual é o melhor filme desse ano?"" E  você  me responder: ""Fora Lula, Fora  Bolsonaro"". Quem é o cidadão  nonsense aqui?  Discut",Neutro
Mon Sep 27 16:48:34 +0000 2021,[1442531622017028098],@MarceloFreixo *Bolsonaro completa Mil Dias no poder. Veja as principais realizações* #Bolsonaro2022 *Compartilhe!!!*  https://t.co/mA42hEsJHV,Neutro
Mon Sep 27 16:48:34 +0000 2021,[1442531624478969860],"Vc sabia? Em uma entrevista para a revista Veja em 2 de dezembro de 1998, o Bolsonaro afirmou que a ditadura chilena de Augusto Pinochet, a qual matou mais de 3.000 pessoas e exilou outras 200.000,""devia ter matado mais gente""   https://t.co/GqWFGbSAcp",Neutro
Mon Sep 27 16:48:56 +0000 2021,[1442531715520634885],"Sem corrupção no governo federal de Jair Bolsonaro. Desde que o João Batista Figueredo não tinha corrupção, e no regime militar no Brasil. Mas no governo eu estadual e as prefeituras tá cheio de corrupção! A esquerda pratica corrupção e deixa o país em estragos!",Neutro
Mon Sep 27 16:48:57 +0000 2021,[1442531718028828674],"“Bolsonaro sempre joga dentro das quatro linhas. Há um script escrito para colocá-lo no papel de golpista”, diz Guedes  https://t.co/0ZVt1XmLLy",Neutro
Mon Sep 27 16:49:18 +0000 2021,[1442531806750797824],"@SomenteOrestes @zehdeabreu Essa proposta de cadastro de agressores é reacionária e vai contra tudo o que a esquerda prega -- vai na linha da proposta de ""castração química"" de Bolsonaro. Punitivismo ao extremo. Algo parecido é praticado em estados ultra-",neutro
Mon Sep 27 16:49:23 +0000 2021,[1442531828280270854],"@MillaCa29 @Andersoncavaa @valenca_everton @leonardoverlac @Ana27281122 @o_antagonista Então petralha, entenda: Bolsonaro não se referiu a assassinar alguém, ponto.",Neutro
Mon Sep 27 16:49:36 +0000 2021,[1442531884437843970],"@leonelbrizola50 @Fariasalves2 De novo, e agora se juntaram ao VOX e PAN do México de verdade. Bolsonaro se encontrou com Boris pra fechar acordo sobre a AUKUS, aliança militar dos USA, Reino Unido e Austrália contra China e Rússia. Tudo isso tá no mesmo ",Neutro
